S|R,Typ,Pckt#,Frm #,PktID,BitLn,Time     ,Local IP:Port   ,RemoteIP:Port,SPID,SPIN,SPCO,OI,Suffix

Rcv,Raw,    0,    0,ID_OPEN_CONNECTION_REQUEST,16,14709769,151038144:3003,151038144:54262,-1,-1,-1,-1,
Snd,Raw,    0,    0,ID_OPEN_CONNECTION_REPLY,16,14709769,151038144:3003,151038144:54262,-1,-1,-1,-1,
Rcv,Nrm,    0,    0,ID_CONNECTION_REQUEST,72,14709779,151038144:3003,151038144:54262,0,0,0,0,
Snd,Nrm,4294967295,    1,ID_CONNECTION_REQUEST_ACCEPTED,120,14709808,151038144:3003,151038144:54262,0,0,0,0,
Rcv,Nrm,    1,    1,ID_NEW_INCOMING_CONNECTION,104,14709828,151038144:3003,151038144:54262,0,0,0,1,
Rcv,Nrm,    2,    1,ID_INTERNAL_PING,40,14709828,151038144:3003,151038144:54262,0,0,0,0,
Rcv,Nrm,    3,    1,Unknown,472,14709828,151038144:3003,151038144:54262,0,0,0,2,
Snd,Nrm,4294967295,    3,ID_INTERNAL_PING,40,14709859,151038144:3003,151038144:54262,0,0,0,1,
Snd,Nrm,4294967295,    3,ID_CONNECTED_PONG,72,14709859,151038144:3003,151038144:54262,0,0,0,0,
Snd,Nrm,4294967295,    4,ID_INTERNAL_PING,40,14709888,151038144:3003,151038144:54262,0,0,0,2,
Rcv,Nrm,    4,    2,ID_INTERNAL_PING,40,14709889,151038144:3003,151038144:54262,0,0,0,0,
Rcv,Nrm,    5,    2,ID_CONNECTED_PONG,72,14709889,151038144:3003,151038144:54262,0,0,0,0,
Snd,Nrm,4294967295,    6,ID_CONNECTED_PONG,72,14709919,151038144:3003,151038144:54262,0,0,0,0,
Snd,Nrm,4294967295,    6,Unknown,472,14709919,151038144:3003,151038144:54262,0,0,0,0,
Rcv,Nrm,    6,    3,ID_CONNECTED_PONG,72,14709919,151038144:3003,151038144:54262,0,0,0,0,
Rcv,Nrm,    7,    4,Unknown,1384,14709969,151038144:3003,151038144:54262,0,0,0,3,
